2025-04-26 10:58:55 [Thread-4] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:58:55] GET /login HTTP/1.1: Sec-Fetch-Mode: navigate
2025-04-26 10:58:55 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:58:55] GET /login HTTP/1.1: Sec-Fetch-Mode: navigate
2025-04-26 10:58:55 [Thread-4] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:58:55] GET /login HTTP/1.1: Sec-Fetch-Dest: document
2025-04-26 10:58:55 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:58:55] GET /login HTTP/1.1: Sec-Fetch-Dest: document
2025-04-26 10:58:55 [Thread-4] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:58:55] GET /login HTTP/1.1: Accept-Encoding: gzip, deflate, br, zstd
2025-04-26 10:58:55 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:58:55] GET /login HTTP/1.1: Accept-Encoding: gzip, deflate, br, zstd
2025-04-26 10:58:55 [Thread-4] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:58:55] GET /login HTTP/1.1: Accept-Language: ru,en;q=0.9
2025-04-26 10:58:55 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:58:55] GET /login HTTP/1.1: Accept-Language: ru,en;q=0.9
2025-04-26 10:58:55 [Thread-4] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:58:55] GET /login HTTP/1.1: If-None-Match: W/"34f-71pxzopWTejQ55/ycWUp+sZUY3k"
2025-04-26 10:58:55 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:58:55] GET /login HTTP/1.1: If-None-Match: W/"34f-71pxzopWTejQ55/ycWUp+sZUY3k"
2025-04-26 10:58:55 [Thread-4] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:58:55] GET /login HTTP/1.1: 
2025-04-26 10:58:55 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:58:55] GET /login HTTP/1.1: 
2025-04-26 10:58:55 [Thread-4] INFO  org.example.networkchat.Server - Client disconnected, remaining clients: 3
2025-04-26 10:58:55 [Thread-4] INFO  org.example.networkchat.Server - Broadcasting message: GET /login HTTP/1.1 has left the chat
2025-04-26 10:58:55 [Thread-0] INFO  org.example.networkchat.Client - Received: GET /login HTTP/1.1 has left the chat
2025-04-26 10:59:35 [Thread-5] INFO  o.example.networkchat.ClientHandler - User GET /login HTTP/1.1 connected
2025-04-26 10:59:35 [Thread-5] INFO  org.example.networkchat.Server - Broadcasting message: GET /login HTTP/1.1 has joined the chat
2025-04-26 10:59:35 [Thread-0] INFO  org.example.networkchat.Client - Received: GET /login HTTP/1.1 has joined the chat
2025-04-26 10:59:35 [Thread-5] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:59:35] GET /login HTTP/1.1: Host: localhost:8081
2025-04-26 10:59:35 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:59:35] GET /login HTTP/1.1: Host: localhost:8081
2025-04-26 10:59:35 [Thread-5] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:59:35] GET /login HTTP/1.1: Connection: keep-alive
2025-04-26 10:59:35 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:59:35] GET /login HTTP/1.1: Connection: keep-alive
2025-04-26 10:59:35 [Thread-5] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:59:35] GET /login HTTP/1.1: sec-ch-ua: "Not A(Brand";v="8", "Chromium";v="132", "YaBrowser";v="25.2", "Yowser";v="2.5"
2025-04-26 10:59:35 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:59:35] GET /login HTTP/1.1: sec-ch-ua: "Not A(Brand";v="8", "Chromium";v="132", "YaBrowser";v="25.2", "Yowser";v="2.5"
2025-04-26 10:59:35 [Thread-5] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:59:35] GET /login HTTP/1.1: sec-ch-ua-mobile: ?0
2025-04-26 10:59:35 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:59:35] GET /login HTTP/1.1: sec-ch-ua-mobile: ?0
2025-04-26 10:59:35 [Thread-5] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:59:35] GET /login HTTP/1.1: sec-ch-ua-platform: "Windows"
2025-04-26 10:59:35 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:59:35] GET /login HTTP/1.1: sec-ch-ua-platform: "Windows"
2025-04-26 10:59:35 [Thread-5] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:59:35] GET /login HTTP/1.1: Upgrade-Insecure-Requests: 1
2025-04-26 10:59:35 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:59:35] GET /login HTTP/1.1: Upgrade-Insecure-Requests: 1
2025-04-26 10:59:35 [Thread-5] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:59:35] GET /login HTTP/1.1: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-26 10:59:35 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:59:35] GET /login HTTP/1.1: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-26 10:59:35 [Thread-5] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:59:35] GET /login HTTP/1.1: Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7
2025-04-26 10:59:35 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:59:35] GET /login HTTP/1.1: Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7
2025-04-26 10:59:35 [Thread-5] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:59:35] GET /login HTTP/1.1: Sec-Fetch-Site: cross-site
2025-04-26 10:59:35 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:59:35] GET /login HTTP/1.1: Sec-Fetch-Site: cross-site
2025-04-26 10:59:35 [Thread-5] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:59:35] GET /login HTTP/1.1: Sec-Fetch-Mode: navigate
2025-04-26 10:59:35 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:59:35] GET /login HTTP/1.1: Sec-Fetch-Mode: navigate
2025-04-26 10:59:35 [Thread-5] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:59:35] GET /login HTTP/1.1: Sec-Fetch-User: ?1
2025-04-26 10:59:35 [Thread-5] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:59:35] GET /login HTTP/1.1: Sec-Fetch-Dest: document
2025-04-26 10:59:35 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:59:35] GET /login HTTP/1.1: Sec-Fetch-User: ?1
2025-04-26 10:59:35 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:59:35] GET /login HTTP/1.1: Sec-Fetch-Dest: document
2025-04-26 10:59:35 [Thread-5] INFO  org.example.networkchat.Server - Client disconnected, remaining clients: 3
